iter	Passed	Remaining
0	140	42153
1	144	21509
2	147	14616
3	150	11161
4	154	9089
5	157	7707
6	160	6716
7	163	5973
8	166	5393
9	170	4940
10	173	4559
11	176	4242
12	180	3974
13	183	3742
14	186	3546
15	189	3372
16	192	3206
17	195	3067
18	199	2943
19	202	2832
20	205	2730
21	208	2636
22	211	2551
23	215	2473
24	218	2404
25	222	2340
26	225	2278
27	228	2220
28	231	2165
29	234	2114
30	238	2065
31	241	2019
32	244	1977
33	247	1936
34	250	1899
35	254	1862
36	257	1827
37	260	1794
38	263	1763
39	266	1735
40	270	1709
41	273	1681
42	276	1654
43	280	1629
44	283	1606
45	286	1583
46	289	1560
47	291	1531
48	294	1509
49	298	1490
50	301	1473
51	305	1455
52	308	1437
53	311	1419
54	314	1401
55	317	1385
56	321	1369
57	324	1353
58	327	1337
59	330	1322
60	334	1309
61	337	1296
62	341	1283
63	344	1269
64	347	1256
65	350	1243
66	354	1232
67	357	1219
68	360	1207
69	363	1195
70	367	1183
71	370	1172
72	373	1161
73	376	1150
74	379	1139
75	383	1130
76	386	1120
77	390	1112
78	394	1102
79	397	1092
80	400	1082
81	403	1073
82	406	1063
83	409	1054
84	413	1045
85	416	1037
86	420	1028
87	423	1019
88	426	1011
89	429	1002
90	432	994
91	436	986
92	439	978
93	442	970
94	445	962
95	448	954
96	452	946
97	455	938
98	458	931
99	461	923
100	465	916
101	468	909
102	471	901
103	474	894
104	477	887
105	481	881
106	484	874
107	487	866
108	490	859
109	493	852
110	497	846
111	500	840
112	503	833
113	507	827
114	510	821
115	513	815
116	517	808
117	520	802
118	523	796
119	526	790
120	531	785
121	534	779
122	537	773
123	541	767
124	544	762
125	547	756
126	550	750
127	554	744
128	557	738
129	560	733
130	563	727
131	566	721
132	569	715
133	573	709
134	576	704
135	580	699
136	583	693
137	586	688
138	589	682
139	593	677
140	596	672
141	599	666
142	602	661
143	605	656
144	608	650
145	612	645
146	614	639
147	617	633
148	620	628
149	623	623
150	626	618
151	629	612
152	632	607
153	635	602
154	638	597
155	642	592
156	645	587
157	648	582
158	651	578
159	655	573
160	658	568
161	662	564
162	665	559
163	668	554
164	671	549
165	675	545
166	678	540
167	681	535
168	685	531
169	688	526
170	691	521
171	695	517
172	698	512
173	701	508
174	704	503
175	708	498
176	711	494
177	714	489
178	717	485
179	720	480
180	723	475
181	727	471
182	730	467
183	733	462
184	737	458
185	740	453
186	743	449
187	746	444
188	749	440
189	753	435
190	756	431
191	759	427
192	762	422
193	765	418
194	769	414
195	772	409
196	776	405
197	779	401
198	782	397
199	785	392
200	789	388
201	792	384
202	795	380
203	798	375
204	801	371
205	806	367
206	810	363
207	813	359
208	817	356
209	821	352
210	825	348
211	829	344
212	832	339
213	835	335
214	838	331
215	842	327
216	845	323
217	848	319
218	851	314
219	855	310
220	858	306
221	861	302
222	865	298
223	868	294
224	871	290
225	874	286
226	877	282
227	880	278
228	883	274
229	887	269
230	890	266
231	893	261
232	896	257
233	900	253
234	903	249
235	906	245
236	909	241
237	912	237
238	915	233
239	918	229
240	922	225
241	926	221
242	929	218
243	932	214
244	936	210
245	939	206
246	942	202
247	945	198
248	948	194
249	951	190
250	955	186
251	958	182
252	961	178
253	965	174
254	968	170
255	972	167
256	975	163
257	978	159
258	981	155
259	985	151
260	988	147
261	991	143
262	994	139
263	997	136
264	1001	132
265	1004	128
266	1007	124
267	1011	120
268	1014	116
269	1017	113
270	1020	109
271	1024	105
272	1027	101
273	1030	97
274	1033	93
275	1036	90
276	1039	86
277	1043	82
278	1046	78
279	1049	74
280	1053	71
281	1056	67
282	1059	63
283	1063	59
284	1066	56
285	1069	52
286	1072	48
287	1076	44
288	1079	41
289	1082	37
290	1086	33
291	1089	29
292	1092	26
293	1095	22
294	1099	18
295	1102	14
296	1105	11
297	1108	7
298	1111	3
299	1114	0
