iter	Logloss
0	0.6853808518
1	0.6787141816
2	0.6714043686
3	0.6647784723
4	0.6578238651
5	0.6517416624
6	0.6447600605
7	0.6381333124
8	0.6323933363
9	0.6269706814
10	0.6216076991
11	0.6167023539
12	0.611278204
13	0.6057194277
14	0.6003779483
15	0.5955907543
16	0.5905828597
17	0.585879515
18	0.5809782304
19	0.5767664249
20	0.5727202969
21	0.568645443
22	0.5647454307
23	0.5607241461
24	0.5568635274
25	0.5527228403
26	0.5491785988
27	0.5453474115
28	0.5418803177
29	0.5386187113
30	0.5354927292
31	0.5324293581
32	0.5290854893
33	0.5261603074
34	0.5229730588
35	0.5197085515
36	0.5166957953
37	0.51374374
38	0.5110778525
39	0.5081801116
40	0.5055323008
41	0.5027047879
42	0.5002827335
43	0.4978062683
44	0.4953923965
45	0.4930729624
46	0.4905921621
47	0.4884169413
48	0.4863644595
49	0.484386193
50	0.4821418421
51	0.4800164028
52	0.4781072428
53	0.4760405056
54	0.4739907561
55	0.4721011507
56	0.4704422224
57	0.4687703151
58	0.4671367022
59	0.4652931293
60	0.4633599192
61	0.4617027058
62	0.4598952876
63	0.4583594244
64	0.4568804245
65	0.4553945555
66	0.4538603065
67	0.4524143348
68	0.4508314562
69	0.4493734916
70	0.4479777708
71	0.446609134
72	0.4453605348
73	0.4439232401
74	0.4425375922
75	0.4412935044
76	0.4399778778
77	0.4386846853
78	0.4374116618
79	0.4362347235
80	0.4349928471
81	0.4339279236
82	0.4328728145
83	0.4317986492
84	0.4307127158
85	0.4296845129
86	0.4286753993
87	0.4276698052
88	0.4268596131
89	0.4263003798
90	0.425291302
91	0.4242192877
92	0.4232769581
93	0.4223027925
94	0.421386973
95	0.4205004902
96	0.4195189831
97	0.4186538821
98	0.417855463
99	0.4171462725
100	0.4163752186
101	0.4155269058
102	0.4147973535
103	0.4139379325
104	0.4131315097
105	0.4124147546
106	0.4117029396
107	0.4110069022
108	0.4101576932
109	0.4093927152
110	0.4086823898
111	0.4080400703
112	0.4072942386
113	0.4066361485
114	0.406076078
115	0.4054394836
116	0.40478793
117	0.4041469963
118	0.4035864943
119	0.4028360028
120	0.402257763
121	0.4015367773
122	0.4008860245
123	0.400225077
124	0.3996770118
125	0.3991022013
126	0.3985630058
127	0.3980677657
128	0.3974867386
129	0.3969498673
130	0.3964575578
131	0.3958629813
132	0.3953889899
133	0.3948071595
134	0.3943271772
135	0.3937618524
136	0.3932695284
137	0.3928358369
138	0.392391554
139	0.391924901
140	0.3914504349
141	0.3910741094
142	0.3905326609
143	0.3903229683
144	0.3898819268
145	0.3893912159
146	0.3889323773
147	0.3884764184
148	0.3879107633
149	0.3874754115
150	0.3870684436
151	0.3866246635
152	0.386198593
153	0.3858420579
154	0.3854004554
155	0.3849655311
156	0.384524959
157	0.3840309639
158	0.3836112886
159	0.383182352
160	0.3828186828
161	0.3825075462
162	0.3820872113
163	0.3816442435
164	0.38155285
165	0.3811186401
166	0.3807476728
167	0.3804001828
168	0.3800236264
169	0.3796819863
170	0.379283962
171	0.3789532755
172	0.3785320472
173	0.3784197014
174	0.3780455902
175	0.377652408
176	0.3772702846
177	0.3769724761
178	0.3766479835
179	0.3763487775
180	0.3761021156
181	0.3757292577
182	0.3754278267
183	0.3750949717
184	0.3747066155
185	0.3744143686
186	0.3742096674
187	0.3738876773
188	0.3734878464
189	0.3731710687
190	0.3728212262
191	0.3725368878
192	0.372149818
193	0.371929208
194	0.3716662307
195	0.3714438836
196	0.3710788503
197	0.3708491462
198	0.3705672401
199	0.3702191961
200	0.3698942848
201	0.3694953304
202	0.3691184317
203	0.3688432145
204	0.3685648341
205	0.3682455033
206	0.3679160513
207	0.3676254234
208	0.367276031
209	0.3670606998
210	0.3667544817
211	0.3663752692
212	0.3661262633
213	0.3658334803
214	0.3655188304
215	0.3651331071
216	0.364784806
217	0.3645070574
218	0.3643404958
219	0.3640891836
220	0.3637850435
