iter	Passed	Remaining
0	11	5509
1	18	4692
2	25	4222
3	32	4034
4	39	3881
5	45	3778
6	52	3714
7	59	3669
8	67	3658
9	74	3655
10	82	3649
11	87	3567
12	94	3537
13	102	3541
14	108	3524
15	116	3525
16	123	3514
17	131	3514
18	139	3524
19	147	3540
20	154	3530
21	162	3521
22	170	3531
23	177	3521
24	185	3519
25	192	3510
26	200	3514
27	208	3509
28	216	3513
29	223	3506
30	231	3504
31	238	3494
32	247	3506
33	255	3495
34	263	3496
35	271	3496
36	279	3496
37	287	3489
38	294	3484
39	302	3479
40	310	3472
41	317	3464
42	325	3454
43	332	3448
44	340	3440
45	348	3436
46	355	3428
47	363	3427
48	371	3420
49	379	3418
50	387	3409
51	395	3406
52	402	3397
53	411	3397
54	418	3389
55	426	3382
56	434	3373
57	441	3368
58	449	3362
59	457	3356
60	465	3351
61	473	3344
62	481	3338
63	488	3330
64	497	3327
65	504	3318
66	512	3313
67	520	3306
68	528	3301
69	536	3294
70	544	3288
71	551	3279
72	559	3275
73	567	3266
74	575	3261
75	583	3253
76	591	3246
77	599	3241
78	607	3236
79	614	3228
80	622	3221
81	630	3212
82	638	3208
83	646	3200
84	654	3194
85	662	3190
86	671	3186
87	679	3180
88	687	3173
89	689	3142
90	697	3132
91	705	3127
92	713	3121
93	721	3114
94	729	3107
95	737	3103
96	745	3095
97	752	3087
98	760	3078
99	767	3071
100	775	3065
101	783	3058
102	791	3052
103	799	3045
104	811	3052
105	818	3043
106	826	3035
107	834	3028
108	841	3019
109	849	3012
110	857	3005
111	865	2997
112	873	2990
113	881	2983
114	885	2963
115	892	2954
116	901	2949
117	908	2942
118	916	2934
119	924	2927
120	933	2922
121	941	2916
122	949	2911
123	957	2903
124	965	2897
125	973	2888
126	982	2884
127	990	2877
128	998	2871
129	1006	2864
130	1014	2858
131	1023	2852
132	1031	2846
133	1039	2838
134	1047	2832
135	1055	2825
136	1063	2818
137	1071	2811
138	1080	2806
139	1088	2798
140	1096	2791
141	1104	2784
142	1112	2777
143	1115	2758
144	1122	2748
145	1131	2742
146	1138	2734
147	1147	2728
148	1155	2721
149	1163	2715
150	1171	2707
151	1179	2700
152	1187	2692
153	1195	2686
154	1203	2678
155	1211	2672
156	1219	2664
157	1227	2657
158	1235	2649
159	1243	2642
160	1251	2634
161	1259	2627
162	1266	2618
163	1275	2612
164	1278	2595
165	1284	2585
166	1293	2579
167	1301	2572
168	1309	2564
169	1316	2556
170	1326	2552
171	1333	2543
172	1342	2537
173	1345	2520
174	1353	2513
175	1360	2505
176	1368	2497
177	1377	2491
178	1384	2483
179	1393	2477
180	1402	2472
181	1410	2464
182	1419	2459
183	1427	2451
184	1436	2445
185	1443	2437
186	1453	2432
187	1461	2424
188	1470	2419
189	1479	2414
190	1489	2408
191	1498	2403
192	1508	2398
193	1518	2394
194	1526	2388
195	1536	2382
196	1544	2376
197	1554	2370
198	1562	2364
199	1571	2356
200	1580	2350
201	1589	2344
202	1598	2338
203	1607	2332
204	1617	2327
205	1626	2321
206	1654	2341
207	1665	2338
208	1675	2333
209	1686	2329
210	1698	2325
211	1709	2322
212	1720	2318
213	1730	2312
214	1741	2308
215	1751	2302
216	1761	2297
217	1772	2292
218	1782	2287
219	1793	2282
220	1803	2277
221	1815	2273
222	1825	2267
223	1835	2261
224	1845	2256
225	1857	2252
226	1868	2247
227	1879	2241
228	1890	2236
229	1901	2232
230	1914	2229
231	1925	2224
232	1935	2218
233	1945	2211
234	1954	2203
235	1964	2197
236	1976	2192
237	1986	2186
238	1996	2180
239	2007	2174
240	2013	2163
241	2024	2157
242	2035	2152
243	2046	2146
244	2058	2142
245	2067	2134
246	2079	2130
247	2090	2124
248	2101	2117
249	2113	2113
250	2138	2121
251	2149	2114
252	2158	2107
253	2169	2101
254	2178	2093
255	2189	2087
256	2199	2079
257	2209	2072
258	2219	2064
259	2228	2056
260	2238	2049
261	2247	2041
262	2256	2033
263	2265	2025
264	2275	2018
265	2285	2010
266	2295	2003
267	2304	1995
268	2316	1988
269	2325	1980
270	2336	1974
271	2345	1966
272	2355	1958
273	2365	1950
274	2374	1943
275	2384	1935
276	2393	1927
277	2403	1919
278	2413	1911
279	2423	1904
280	2434	1897
281	2443	1888
282	2452	1880
283	2461	1872
284	2471	1864
285	2480	1856
286	2489	1847
287	2498	1839
288	2508	1831
289	2518	1823
290	2528	1816
291	2537	1807
292	2548	1800
293	2557	1792
294	2567	1784
295	2576	1775
296	2587	1768
297	2596	1760
298	2606	1751
299	2616	1744
300	2626	1736
301	2636	1728
302	2648	1722
303	2658	1713
304	2667	1705
305	2677	1697
306	2686	1688
307	2697	1681
308	2706	1672
309	2715	1664
310	2725	1656
311	2734	1647
312	2744	1639
313	2754	1631
314	2764	1623
315	2774	1615
316	2778	1604
317	2782	1592
318	2791	1583
319	2804	1577
320	2812	1568
321	2821	1559
322	2832	1552
323	2840	1543
324	2848	1533
325	2857	1524
326	2865	1515
327	2867	1503
328	2875	1494
329	2883	1485
330	2893	1477
331	2901	1468
332	2910	1459
333	2918	1450
334	2925	1441
335	2933	1431
336	2941	1422
337	2949	1413
338	2958	1404
339	2966	1395
340	2975	1387
341	2983	1378
342	2992	1369
343	3001	1360
344	3009	1351
345	3017	1343
346	3026	1334
347	3033	1325
348	3042	1316
349	3051	1307
350	3059	1298
351	3067	1289
352	3076	1280
353	3085	1272
354	3094	1263
355	3103	1255
356	3110	1246
357	3114	1235
358	3122	1226
359	3130	1217
360	3138	1208
361	3146	1199
362	3155	1190
363	3163	1182
364	3172	1173
365	3180	1164
