iter	Passed	Remaining
0	153	45979
1	157	23408
2	160	15877
3	163	12112
4	166	9851
5	170	8341
6	173	7261
7	176	6450
8	179	5819
9	183	5311
10	186	4896
11	189	4549
12	192	4257
13	196	4006
14	199	3787
15	202	3594
16	205	3414
17	208	3263
18	211	3128
19	214	3007
20	217	2895
21	221	2794
22	224	2702
23	227	2616
24	230	2538
25	233	2464
26	237	2396
27	240	2333
28	243	2274
29	246	2219
30	249	2167
31	253	2118
32	256	2073
33	259	2030
34	262	1989
35	265	1949
36	269	1913
37	272	1878
38	275	1846
39	279	1814
40	282	1784
41	285	1756
42	289	1728
43	292	1702
44	295	1676
45	299	1651
46	302	1627
47	304	1596
48	307	1575
49	311	1555
50	314	1535
51	317	1514
52	320	1495
53	324	1476
54	327	1458
55	330	1439
56	333	1421
57	336	1405
58	339	1388
59	343	1372
60	346	1356
61	349	1341
62	352	1326
63	355	1312
64	359	1298
65	362	1284
66	365	1271
67	368	1258
68	372	1245
69	375	1233
70	378	1220
71	381	1208
72	385	1197
73	388	1186
74	391	1174
75	394	1163
76	397	1152
77	401	1142
78	405	1133
79	408	1122
80	411	1112
81	415	1103
82	418	1093
83	421	1083
84	424	1074
85	427	1064
86	430	1055
87	434	1045
88	437	1036
89	440	1027
90	443	1019
91	446	1010
92	449	1001
93	453	992
94	456	984
95	459	975
96	462	967
97	465	959
98	468	952
99	472	944
100	475	936
101	478	928
102	481	921
103	484	913
104	487	905
105	490	898
106	494	891
107	497	883
108	500	876
109	503	869
110	507	863
111	510	857
112	514	850
113	517	844
114	520	837
115	524	831
116	527	824
117	530	818
118	533	812
119	537	806
120	540	800
121	544	794
122	547	788
123	551	783
124	555	777
125	558	771
126	562	765
127	565	759
128	568	753
129	572	748
130	575	742
131	578	736
132	581	730
133	584	724
134	588	718
135	591	712
136	594	707
137	597	701
138	600	696
139	604	690
140	607	685
141	610	679
142	614	674
143	617	669
144	621	663
145	624	658
146	625	651
147	628	645
148	632	640
149	635	635
150	638	630
151	641	624
152	644	619
153	648	614
154	651	609
155	654	604
156	657	599
157	660	594
158	664	589
159	667	584
160	670	579
161	673	574
162	677	569
163	680	564
164	683	559
165	686	554
166	690	549
167	693	544
168	696	539
169	699	535
170	703	530
171	706	525
172	709	520
173	712	516
174	716	511
175	719	506
176	722	502
177	725	497
178	728	492
179	731	487
180	735	483
181	738	478
182	741	474
183	744	469
184	747	464
185	750	460
186	754	455
187	757	451
188	760	446
189	763	442
190	766	437
191	769	433
192	773	428
193	776	424
194	779	419
195	782	415
196	786	410
197	789	406
198	792	402
199	795	397
200	799	393
201	803	389
202	806	385
203	809	381
204	812	376
205	816	372
206	819	368
207	822	363
208	825	359
209	829	355
210	832	351
211	835	346
212	838	342
213	842	338
214	845	334
215	848	329
216	851	325
217	854	321
218	858	317
219	861	313
220	864	309
221	867	304
222	870	300
223	874	296
224	877	292
225	880	288
226	883	284
227	886	280
228	890	276
229	893	271
230	896	267
231	899	263
232	903	259
233	906	255
234	909	251
235	912	247
236	915	243
237	918	239
238	921	235
239	924	231
240	927	227
241	931	223
242	934	219
243	937	215
244	940	211
245	944	207
246	947	203
247	950	199
248	953	195
249	956	191
250	959	187
251	962	183
252	966	179
253	969	175
254	972	171
255	975	167
256	978	163
257	981	159
258	985	155
259	988	152
260	991	148
261	994	144
262	997	140
263	1000	136
264	1003	132
265	1006	128
266	1009	124
267	1013	120
268	1016	117
269	1019	113
270	1022	109
271	1026	105
272	1029	101
273	1032	97
274	1035	94
275	1039	90
276	1042	86
277	1046	82
278	1049	78
279	1052	75
280	1056	71
281	1059	67
282	1062	63
283	1065	60
284	1068	56
285	1072	52
286	1075	48
287	1078	44
288	1081	41
289	1084	37
290	1088	33
291	1091	29
292	1094	26
293	1097	22
294	1101	18
295	1104	14
296	1107	11
297	1110	7
298	1113	3
299	1116	0
